t=0.0, v=1.5e-05, theta=1.5700454002257278, v_L=1.4901952210456036e-05, v_R=1.5098047789543961e-05
t=0.007463463463463464, v=0.0006025675675675675, theta=1.5700454002257278, v_L=0.0006251797482269867, v_R=0.0005799553869081484
t=0.014926926926926928, v=0.002022462462462463, theta=1.568541481741545, v_L=0.00209835816120162, v_R=0.0019465667637233054
t=0.02239039039039039, v=0.004280540540540541, theta=1.5670351247170389, v_L=0.004441724360551846, v_R=0.004119356720529236
t=0.029853853853853855, v=0.007372042042042042, theta=1.5655263066414595, v_L=0.007650592646570457, v_R=0.007093491437513627
t=0.03731731731731732, v=0.011300630630630635, theta=1.5640150049878625, v_L=0.011729099983350349, v_R=0.010872161277910923
t=0.04478078078078078, v=0.01606373873873874, theta=1.5625011972134815, v_L=0.01667492245989205, v_R=0.015452555017585435
t=0.052244244244244245, v=0.02166283783783784, theta=1.5609848607601193, v_L=0.022489933628398174, v_R=0.02083574204727751
t=0.05970770770770771, v=0.028097552552552557, theta=1.559465973054555, v_L=0.02917409583192828, v_R=0.027021009273176834
t=0.06717117117117118, v=0.03536716216216216, theta=1.5579445115089672, v_L=0.03672701825477501, v_R=0.03400730606954931
t=0.07463463463463464, v=0.0434734834834835, theta=1.5564204535213773, v_L=0.045150950853768634, v_R=0.041796016113198366
t=0.08209809809809811, v=0.05241360360360362, theta=1.554893776476108, v_L=0.05444323746247028, v_R=0.05038396974473696
t=0.08956156156156156, v=0.06219153153153154, theta=1.5533644577442614, v_L=0.0646084170423189, v_R=0.05977464602074419
t=0.09702502502502502, v=0.07280216216216215, theta=1.5518324746842147, v_L=0.07564156706595715, v_R=0.06996275725836716
t=0.10448848848848849, v=0.0842516966966967, theta=1.5502978046421338, v_L=0.08754951692164295, v_R=0.08095387647175044
t=0.11195195195195196, v=0.09653355855855857, theta=1.5487604249525082, v_L=0.10032582571680074, v_R=0.09274129140031638
t=0.11941541541541542, v=0.109653978978979, theta=1.5472203129387012, v_L=0.11397736761882413, v_R=0.10533059033913386
t=0.1268788788788789, v=0.12360744744744745, theta=1.545677445913523, v_L=0.12849882004865737, v_R=0.11871607484623754
t=0.13434234234234235, v=0.13839837837837837, theta=1.5441318011798213, v_L=0.1438951824729087, v_R=0.13290157428384808
t=0.14180580580580582, v=0.15402345345345345, theta=1.542583356031094, v_L=0.16016342210547388, v_R=0.147883484801433
t=0.14926926926926928, v=0.17048489489489493, theta=1.5410320877521178, v_L=0.17730627265537502, v_R=0.16366351713441488
t=0.15673273273273275, v=0.18778157657657663, theta=1.5394779736196036, v_L=0.19532299259341612, v_R=0.18024016055973713
t=0.16419619619619621, v=0.20591352852852857, theta=1.5379209909028675, v_L=0.21421404880047307, v_R=0.19761300825658407
t=0.17165965965965968, v=0.22488181681681682, theta=1.5363611168645253, v_L=0.233980992499837, v_R=0.21578264113379667
